Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,     0.2238492, , 
        -4.85,     0.2216877, , 
         -4.8,     0.2195273, , 
        -4.75,     0.2173603, , 
         -4.7,     0.2151903, , 
        -4.65,      0.213018, , 
         -4.6,     0.2108308, , 
        -4.55,     0.2086405, , 
         -4.5,     0.2064482, , 
        -4.45,     0.2042513, , 
         -4.4,     0.2020457, , 
        -4.35,     0.1998375, , 
         -4.3,     0.1976243, , 
        -4.25,     0.1953584, , 
         -4.2,      0.193077, , 
        -4.15,     0.1907893, , 
         -4.1,     0.1884976, , 
        -4.05,     0.1862046, , 
           -4,     0.1839088, , 
        -3.95,     0.1816091, , 
         -3.9,     0.1793042, , 
        -3.85,     0.1769966, , 
         -3.8,     0.1746914, , 
        -3.75,     0.1723855, , 
         -3.7,     0.1700784, , 
        -3.65,       0.16777, , 
         -3.6,     0.1654602, , 
        -3.55,     0.1631548, , 
         -3.5,     0.1608769, , 
        -3.45,     0.1586088, , 
         -3.4,     0.1563445, , 
        -3.35,     0.1540844, , 
         -3.3,     0.1518273, , 
        -3.25,      0.149571, , 
         -3.2,     0.1473152, , 
        -3.15,      0.145056, , 
         -3.1,     0.1427925, , 
        -3.05,     0.1405295, , 
           -3,     0.1382641, , 
        -2.95,     0.1359967, , 
         -2.9,     0.1337308, , 
        -2.85,     0.1314651, , 
         -2.8,     0.1291979, , 
        -2.75,     0.1269292, , 
         -2.7,     0.1246589, , 
        -2.65,     0.1223875, , 
         -2.6,     0.1201158, , 
        -2.55,     0.1178424, , 
         -2.5,     0.1155686, , 
        -2.45,     0.1132949, , 
         -2.4,     0.1110197, , 
        -2.35,     0.1087433, , 
         -2.3,     0.1064648, , 
        -2.25,     0.1041837, , 
         -2.2,     0.1019006, , 
        -2.15,    0.09961526, , 
         -2.1,    0.09732846, , 
        -2.05,    0.09503938, , 
           -2,     0.0927488, , 
        -1.95,    0.09045683, , 
         -1.9,    0.08816368, , 
        -1.85,    0.08586977, , 
         -1.8,    0.08357487, , 
        -1.75,    0.08127743, , 
         -1.7,    0.07897798, , 
        -1.65,    0.07667738, , 
         -1.6,     0.0743755, , 
        -1.55,    0.07207256, , 
         -1.5,    0.06977491, , 
        -1.45,    0.06747272, , 
         -1.4,    0.06516621, , 
        -1.35,    0.06285662, , 
         -1.3,    0.06054667, , 
        -1.25,    0.05823389, , 
         -1.2,     0.0559217, , 
        -1.15,    0.05360603, , 
         -1.1,    0.05129061, , 
        -1.05,    0.04897184, , 
           -1,    0.04665163, , 
        -0.95,    0.04433137, , 
         -0.9,    0.04200835, , 
        -0.85,    0.03968398, , 
         -0.8,     0.0373573, , 
        -0.75,    0.03503687, , 
         -0.7,    0.03271167, , 
        -0.65,    0.03038491, , 
         -0.6,    0.02805555, , 
        -0.55,    0.02572355, , 
         -0.5,    0.02339189, , 
        -0.45,    0.02105569, , 
         -0.4,    0.01871948, , 
        -0.35,    0.01638111, , 
         -0.3,    0.01404006, , 
        -0.25,    0.01169898, , 
         -0.2,   0.009355744, , 
        -0.15,   0.007011143, , 
         -0.1,    0.00466539, , 
        -0.05,   0.002320782, , 
            0, -2.355767e-05, , 
         0.05,  -0.002370539, , 
          0.1,  -0.004719099, , 
         0.15,  -0.007070261, , 
          0.2,  -0.009421161, , 
         0.25,   -0.01177619, , 
          0.3,     -0.014132, , 
         0.35,   -0.01649104, , 
          0.4,   -0.01884965, , 
         0.45,   -0.02121092, , 
          0.5,   -0.02357442, , 
         0.55,    -0.0259383, , 
          0.6,   -0.02830353, , 
         0.65,   -0.03066945, , 
          0.7,    -0.0330339, , 
         0.75,   -0.03540121, , 
          0.8,   -0.03776994, , 
         0.85,   -0.04014086, , 
          0.9,   -0.04251446, , 
         0.95,   -0.04488969, , 
            1,   -0.04726641, , 
         1.05,   -0.04964472, , 
          1.1,   -0.05202549, , 
         1.15,   -0.05440698, , 
          1.2,   -0.05679121, , 
         1.25,   -0.05917871, , 
          1.3,   -0.06156849, , 
         1.35,   -0.06396398, , 
          1.4,   -0.06636224, , 
         1.45,   -0.06876104, , 
          1.5,   -0.07115519, , 
         1.55,   -0.07354819, , 
          1.6,   -0.07594283, , 
         1.65,   -0.07833422, , 
          1.7,   -0.08072862, , 
         1.75,   -0.08312377, , 
          1.8,    -0.0855202, , 
         1.85,   -0.08791753, , 
          1.9,   -0.09031463, , 
         1.95,   -0.09271088, , 
            2,   -0.09510242, , 
         2.05,   -0.09749643, , 
          2.1,   -0.09989077, , 
