Alpha,T1-25.0 ft/s-LLT, , 
         2.15,    -0.1022896, , 
          2.2,    -0.1046909, , 
         2.25,    -0.1070942, , 
          2.3,    -0.1094957, , 
         2.35,    -0.1119024, , 
          2.4,    -0.1143124, , 
         2.45,    -0.1167247, , 
          2.5,    -0.1191396, , 
         2.55,    -0.1215554, , 
          2.6,    -0.1239656, , 
         2.65,    -0.1263714, , 
          2.7,    -0.1287804, , 
         2.75,    -0.1311898, , 
          2.8,    -0.1336048, , 
         2.85,    -0.1360142, , 
          2.9,    -0.1384303, , 
         2.95,    -0.1408453, , 
            3,    -0.1432611, , 
         3.05,    -0.1456787, , 
          3.1,    -0.1480971, , 
         3.15,    -0.1505139, , 
          3.2,    -0.1529317, , 
         3.25,    -0.1553435, , 
          3.3,    -0.1577584, , 
         3.35,    -0.1601753, , 
          3.4,     -0.162595, , 
         3.45,    -0.1650198, , 
          3.5,    -0.1674401, , 
         3.55,    -0.1698657, , 
          3.6,    -0.1722888, , 
         3.65,    -0.1747084, , 
          3.7,    -0.1771366, , 
         3.75,    -0.1795661, , 
          3.8,    -0.1819919, , 
         3.85,    -0.1844206, , 
          3.9,    -0.1868429, , 
         3.95,     -0.189268, , 
            4,    -0.1916928, , 
         4.05,    -0.1941171, , 
          4.1,    -0.1965513, , 
         4.15,    -0.1989816, , 
          4.2,    -0.2014183, , 
         4.25,    -0.2038539, , 
          4.3,    -0.2062866, , 
         4.35,    -0.2087203, , 
          4.4,     -0.211159, , 
         4.45,    -0.2135947, , 
          4.5,    -0.2160235, , 
         4.55,    -0.2184574, , 
          4.6,    -0.2208934, , 
         4.65,    -0.2233303, , 
          4.7,    -0.2257703, , 
         4.75,    -0.2282025, , 
          4.8,    -0.2306449, , 
         4.85,    -0.2330894, , 
          4.9,    -0.2355342, , 

