Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,     0.3520734, , 
        -4.85,     0.3498983, , 
         -4.8,     0.3477198, , 
        -4.75,     0.3455425, , 
         -4.7,     0.3433564, , 
        -4.65,     0.3411694, , 
         -4.6,     0.3389757, , 
        -4.55,     0.3367695, , 
         -4.5,     0.3345613, , 
        -4.45,     0.3323508, , 
         -4.4,     0.3301331, , 
        -4.35,     0.3279087, , 
         -4.3,     0.3256819, , 
        -4.25,     0.3234392, , 
         -4.2,     0.3211468, , 
        -4.15,     0.3188444, , 
         -4.1,     0.3165369, , 
        -4.05,     0.3142254, , 
           -4,     0.3119129, , 
        -3.95,     0.3095977, , 
         -3.9,     0.3072775, , 
        -3.85,     0.3049521, , 
         -3.8,     0.3026256, , 
        -3.75,      0.300301, , 
         -3.7,     0.2979749, , 
        -3.65,     0.2956479, , 
         -3.6,     0.2933194, , 
        -3.55,     0.2909891, , 
         -3.5,       0.28867, , 
        -3.45,      0.286376, , 
         -3.4,      0.284089, , 
        -3.35,     0.2818054, , 
         -3.3,     0.2795258, , 
        -3.25,     0.2772491, , 
         -3.2,     0.2749716, , 
        -3.15,     0.2726953, , 
         -3.1,     0.2704129, , 
        -3.05,     0.2681284, , 
           -3,     0.2658429, , 
        -2.95,     0.2635551, , 
         -2.9,     0.2612659, , 
        -2.85,     0.2589787, , 
         -2.8,     0.2566905, , 
        -2.75,     0.2544005, , 
         -2.7,     0.2521089, , 
        -2.65,     0.2498154, , 
         -2.6,     0.2475218, , 
        -2.55,     0.2452269, , 
         -2.5,     0.2429302, , 
        -2.45,     0.2406333, , 
         -2.4,     0.2383359, , 
        -2.35,      0.236037, , 
         -2.3,     0.2337368, , 
        -2.25,     0.2314343, , 
         -2.2,     0.2291292, , 
        -2.15,     0.2268216, , 
         -2.1,     0.2245119, , 
        -2.05,     0.2222001, , 
           -2,     0.2198862, , 
        -1.95,     0.2175711, , 
         -1.9,     0.2152538, , 
        -1.85,     0.2129359, , 
         -1.8,     0.2106168, , 
        -1.75,     0.2082965, , 
         -1.7,     0.2059733, , 
        -1.65,     0.2036482, , 
         -1.6,     0.2013218, , 
        -1.55,     0.1989938, , 
         -1.5,     0.1966666, , 
        -1.45,     0.1943424, , 
         -1.4,     0.1920125, , 
        -1.35,     0.1896793, , 
         -1.3,     0.1873426, , 
        -1.25,     0.1850047, , 
         -1.2,     0.1826663, , 
        -1.15,     0.1803246, , 
         -1.1,     0.1779818, , 
        -1.05,     0.1756375, , 
           -1,     0.1732906, , 
        -0.95,     0.1709425, , 
         -0.9,     0.1685929, , 
        -0.85,      0.166241, , 
         -0.8,     0.1638873, , 
        -0.75,     0.1615328, , 
         -0.7,     0.1591821, , 
        -0.65,     0.1568272, , 
         -0.6,     0.1544701, , 
        -0.55,      0.152111, , 
         -0.5,     0.1497476, , 
        -0.45,     0.1473852, , 
         -0.4,     0.1450179, , 
        -0.35,     0.1426513, , 
         -0.3,     0.1402807, , 
        -0.25,      0.137908, , 
         -0.2,     0.1355353, , 
        -0.15,     0.1331594, , 
         -0.1,     0.1307831, , 
        -0.05,     0.1284043, , 
            0,     0.1260271, , 
         0.05,     0.1236497, , 
          0.1,     0.1212691, , 
         0.15,     0.1188866, , 
          0.2,      0.116502, , 
         0.25,     0.1141159, , 
          0.3,     0.1117267, , 
         0.35,     0.1093357, , 
          0.4,     0.1069422, , 
         0.45,     0.1045481, , 
          0.5,     0.1021507, , 
         0.55,    0.09975203, , 
          0.6,    0.09735206, , 
         0.65,    0.09495017, , 
          0.7,    0.09254833, , 
         0.75,    0.09014667, , 
          0.8,    0.08774228, , 
         0.85,    0.08533648, , 
          0.9,     0.0829268, , 
         0.95,    0.08051556, , 
            1,    0.07810204, , 
         1.05,    0.07568678, , 
          1.1,    0.07326931, , 
         1.15,    0.07085027, , 
          1.2,     0.0684287, , 
         1.25,    0.06600425, , 
          1.3,    0.06357667, , 
         1.35,    0.06114592, , 
          1.4,    0.05870982, , 
         1.45,    0.05627009, , 
          1.5,    0.05383243, , 
         1.55,    0.05139789, , 
          1.6,     0.0489642, , 
         1.65,    0.04652958, , 
          1.7,    0.04409637, , 
         1.75,    0.04166008, , 
          1.8,    0.03922341, , 
         1.85,    0.03678502, , 
          1.9,    0.03434661, , 
         1.95,    0.03190651, , 
            2,    0.02947034, , 
         2.05,    0.02703559, , 
          2.1,    0.02459965, , 
         2.15,    0.02216033, , 
          2.2,     0.0197191, , 
         2.25,    0.01727292, , 
          2.3,    0.01482815, , 
         2.35,    0.01238102, , 
          2.4,   0.009929945, , 
         2.45,   0.007476107, , 
          2.5,   0.005018403, , 
         2.55,    0.00255857, , 
          2.6,  9.936134e-05, , 
         2.65,  -0.002352112, , 
          2.7,  -0.004804324, , 
         2.75,   -0.00726081, , 
          2.8,   -0.00971558, , 
         2.85,   -0.01217438, , 
          2.9,   -0.01463024, , 
         2.95,   -0.01709344, , 
            3,   -0.01955217, , 
         3.05,   -0.02201554, , 
          3.1,   -0.02447983, , 
         3.15,   -0.02694255, , 
          3.2,   -0.02940807, , 
         3.25,   -0.03187293, , 
          3.3,   -0.03433069, , 
         3.35,   -0.03679228, , 
          3.4,   -0.03925915, , 
         3.45,   -0.04172831, , 
          3.5,   -0.04419939, , 
         3.55,   -0.04666917, , 
          3.6,   -0.04914362, , 
         3.65,   -0.05160961, , 
          3.7,    -0.0540837, , 
         3.75,   -0.05656145, , 
          3.8,   -0.05904055, , 
         3.85,    -0.0615158, , 
          3.9,   -0.06399181, , 
         3.95,   -0.06646614, , 
            4,   -0.06893863, , 
         4.05,   -0.07141125, , 
          4.1,   -0.07389149, , 
         4.15,   -0.07637338, , 
          4.2,   -0.07885778, , 
         4.25,   -0.08134476, , 
          4.3,   -0.08382863, , 
         4.35,   -0.08631431, , 
          4.4,   -0.08880135, , 
         4.45,   -0.09129247, , 
          4.5,   -0.09377468, , 
         4.55,   -0.09626033, , 
          4.6,   -0.09874611, , 
         4.65,     -0.101235, , 
          4.7,    -0.1037255, , 
         4.75,    -0.1062145, , 
          4.8,    -0.1087038, , 
         4.85,    -0.1112004, , 
          4.9,    -0.1136988, , 

