Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,    -0.0178566, , 
        -4.85,    -0.0200651, , 
         -4.8,   -0.02228278, , 
        -4.75,   -0.02450028, , 
         -4.7,   -0.02672422, , 
        -4.65,   -0.02896031, , 
         -4.6,   -0.03119788, , 
        -4.55,   -0.03343725, , 
         -4.5,   -0.03568382, , 
        -4.45,   -0.03793582, , 
         -4.4,   -0.04019012, , 
        -4.35,   -0.04246712, , 
         -4.3,     -0.044783, , 
        -4.25,    -0.0471103, , 
         -4.2,   -0.04944295, , 
        -4.15,    -0.0517786, , 
         -4.1,   -0.05411549, , 
        -4.05,   -0.05645519, , 
           -4,   -0.05879982, , 
        -3.95,     -0.061148, , 
         -3.9,   -0.06349615, , 
        -3.85,   -0.06584288, , 
         -3.8,    -0.0681905, , 
        -3.75,   -0.07053866, , 
         -3.7,   -0.07288793, , 
        -3.65,    -0.0752386, , 
         -3.6,   -0.07757007, , 
        -3.55,   -0.07988292, , 
         -3.5,   -0.08218922, , 
        -3.45,   -0.08449119, , 
         -3.4,   -0.08678777, , 
        -3.35,   -0.08908213, , 
         -3.3,     -0.091376, , 
        -3.25,   -0.09366924, , 
         -3.2,   -0.09596729, , 
        -3.15,   -0.09826678, , 
         -3.1,    -0.1005659, , 
        -3.05,    -0.1028669, , 
           -3,    -0.1051686, , 
        -2.95,    -0.1074685, , 
         -2.9,    -0.1097683, , 
        -2.85,    -0.1120693, , 
         -2.8,    -0.1143716, , 
        -2.75,    -0.1166747, , 
         -2.7,    -0.1189785, , 
        -2.65,    -0.1212823, , 
         -2.6,    -0.1235874, , 
        -2.55,    -0.1258911, , 
         -2.5,    -0.1281958, , 
        -2.45,    -0.1305013, , 
         -2.4,    -0.1328077, , 
        -2.35,    -0.1351162, , 
         -2.3,    -0.1374268, , 
        -2.25,    -0.1397388, , 
         -2.2,    -0.1420523, , 
        -2.15,    -0.1443669, , 
         -2.1,    -0.1466832, , 
        -2.05,    -0.1490003, , 
           -2,    -0.1513186, , 
        -1.95,    -0.1536372, , 
         -1.9,    -0.1559565, , 
        -1.85,    -0.1582768, , 
         -1.8,    -0.1605991, , 
        -1.75,    -0.1629229, , 
         -1.7,     -0.165247, , 
        -1.65,    -0.1675722, , 
         -1.6,    -0.1698931, , 
        -1.55,    -0.1722155, , 
         -1.5,    -0.1745413, , 
        -1.45,    -0.1768696, , 
         -1.4,    -0.1792006, , 
        -1.35,    -0.1815317, , 
         -1.3,     -0.183863, , 
        -1.25,    -0.1861971, , 
         -1.2,    -0.1885324, , 
        -1.15,    -0.1908672, , 
         -1.1,    -0.1932048, , 
        -1.05,    -0.1955435, , 
           -1,    -0.1978817, , 
        -0.95,    -0.2002222, , 
         -0.9,     -0.202564, , 
        -0.85,    -0.2049049, , 
         -0.8,    -0.2072422, , 
        -0.75,    -0.2095839, , 
         -0.7,    -0.2119267, , 
        -0.65,    -0.2142707, , 
         -0.6,    -0.2166186, , 
        -0.55,    -0.2189645, , 
         -0.5,    -0.2213147, , 
        -0.45,    -0.2236638, , 
         -0.4,     -0.226016, , 
        -0.35,    -0.2283699, , 
         -0.3,    -0.2307228, , 
        -0.25,    -0.2330783, , 
         -0.2,    -0.2354342, , 
        -0.15,    -0.2377912, , 
         -0.1,    -0.2401441, , 
        -0.05,    -0.2424992, , 
            0,    -0.2448566, , 
         0.05,    -0.2472149, , 
          0.1,    -0.2495753, , 
         0.15,    -0.2519355, , 
          0.2,    -0.2542986, , 
         0.25,    -0.2566628, , 
          0.3,    -0.2590294, , 
         0.35,    -0.2613946, , 
          0.4,    -0.2637629, , 
         0.45,    -0.2661324, , 
          0.5,    -0.2685017, , 
         0.55,    -0.2708722, , 
          0.6,    -0.2732407, , 
         0.65,    -0.2756104, , 
          0.7,    -0.2779822, , 
         0.75,    -0.2803547, , 
          0.8,      -0.28273, , 
         0.85,     -0.285106, , 
          0.9,    -0.2874843, , 
         0.95,    -0.2898627, , 
            1,    -0.2922433, , 
         1.05,    -0.2946252, , 
          1.1,    -0.2970077, , 
         1.15,    -0.2993929, , 
          1.2,    -0.3017806, , 
         1.25,    -0.3041722, , 
          1.3,    -0.3065679, , 
         1.35,    -0.3089654, , 
          1.4,    -0.3113588, , 
         1.45,    -0.3137499, , 
          1.5,    -0.3161389, , 
         1.55,    -0.3185296, , 
          1.6,    -0.3209178, , 
         1.65,    -0.3233083, , 
          1.7,    -0.3256991, , 
         1.75,     -0.328091, , 
          1.8,    -0.3304823, , 
         1.85,    -0.3328743, , 
          1.9,      -0.33526, , 
         1.95,    -0.3376468, , 
